iter	Passed	Remaining
404	8803	12933
405	8826	12912
406	8847	12891
407	8869	12869
408	8891	12847
409	8913	12826
410	8934	12804
411	8956	12782
412	8978	12761
413	8999	12739
414	9021	12717
415	9043	12695
416	9065	12674
417	9087	12653
418	9109	12632
419	9131	12610
420	9153	12588
421	9175	12566
422	9197	12545
423	9219	12524
424	9241	12502
425	9263	12481
426	9284	12459
427	9306	12437
428	9328	12415
429	9350	12395
430	9372	12373
431	9394	12352
432	9416	12330
433	9438	12309
434	9460	12287
435	9482	12266
436	9504	12245
437	9526	12223
438	9548	12202
439	9570	12181
440	9592	12159
441	9615	12138
442	9636	12116
443	9659	12095
444	9681	12074
445	9703	12052
446	9725	12031
447	9747	12010
448	9769	11988
449	9791	11966
450	9812	11945
451	9834	11923
452	9856	11901
453	9878	11880
454	9900	11858
455	9922	11837
456	9944	11815
457	9966	11794
458	9988	11773
459	10010	11751
460	10032	11729
461	10054	11708
462	10076	11687
463	10097	11664
464	10120	11643
465	10142	11622
466	10164	11600
467	10185	11578
468	10207	11556
469	10229	11535
470	10250	11512
471	10272	11491
472	10293	11469
473	10315	11447
474	10337	11425
475	10359	11403
476	10380	11382
477	10402	11360
478	10424	11338
479	10446	11317
480	10468	11295
481	10490	11273
482	10511	11251
483	10534	11230
484	10555	11208
485	10577	11187
486	10599	11165
487	10621	11144
488	10644	11123
489	10666	11101
490	10687	11079
491	10709	11058
492	10731	11035
493	10753	11014
494	10775	10992
495	10796	10971
496	10818	10949
497	10840	10927
498	10862	10905
499	10883	10883
500	10905	10862
501	10927	10840
502	10948	10818
503	10970	10796
504	10992	10775
505	11014	10753
506	11036	10732
507	11058	10710
508	11080	10688
509	11102	10666
510	11124	10645
511	11146	10623
512	11168	10602
513	11190	10580
514	11211	10558
515	11233	10536
516	11255	10515
517	11277	10493
518	11299	10472
519	11321	10450
520	11343	10428
521	11365	10407
522	11386	10385
523	11408	10363
524	11430	10341
525	11451	10319
526	11474	10298
527	11495	10276
528	11517	10254
529	11539	10232
530	11561	10211
531	11583	10189
532	11605	10167
533	11626	10146
534	11648	10124
535	11669	10102
536	11692	10080
537	11713	10059
538	11735	10037
539	11757	10015
540	11778	9993
541	11800	9971
542	11822	9950
543	11844	9928
544	11867	9907
545	11888	9885
546	11910	9863
547	11932	9842
548	11955	9820
549	11977	9799
550	11998	9777
551	12020	9755
552	12041	9733
553	12063	9712
554	12086	9690
555	12108	9669
556	12130	9647
557	12151	9625
558	12173	9604
559	12195	9582
560	12217	9560
561	12239	9539
562	12262	9517
563	12283	9496
564	12306	9474
565	12327	9452
566	12349	9431
567	12372	9409
568	12394	9388
569	12415	9366
570	12438	9345
571	12460	9323
572	12482	9301
573	12504	9280
574	12526	9258
575	12548	9236
576	12570	9215
577	12591	9193
578	12613	9171
579	12635	9150
580	12657	9128
581	12679	9106
582	12701	9084
583	12723	9063
584	12745	9041
585	12767	9019
586	12788	8997
587	12810	8976
588	12832	8954
589	12854	8933
590	12876	8911
591	12898	8889
592	12920	8868
593	12942	8846
594	12964	8824
595	12986	8802
596	13008	8781
597	13030	8759
598	13051	8737
599	13073	8715
600	13095	8693
601	13117	8672
602	13138	8650
603	13161	8628
604	13182	8607
605	13204	8585
606	13227	8563
607	13248	8541
608	13270	8520
